city,tcac_code,sipsa_name,exito_name
Bucaramanga,C032,Guayaba pera,Guayaba pera
Bucaramanga,B052,Habichuela,Habichuela
Bucaramanga,A040,Harina de trigo,Harina de trigo
Bucaramanga,A034,Harina precocida de maíz,Harina precocida de maíz
Bucaramanga,J004,Huevo rojo A,Huevo A
Bucaramanga,N/A,Huevo rojo B,Huevo rojo B
Bucaramanga,N/A,Jugo de frutas,Jugo de frutas
Bucaramanga,C042,Kiwi,Kiwi
Bucaramanga,G008,Leche en polvo,Leche en polvo
Bucaramanga,B059,Lechuga Batavia,Lechuga Batavia
Bucaramanga,B060,Lechuga crespa verde,Lechuga crespa verde
Bucaramanga,T026,Lenteja importada,Lenteja importada
Bucaramanga,C044,Limón común,Limón común
Bucaramanga,C044,Limón Tahití,Limón Tahití
Bucaramanga,E003,Lomitos de atún en lata,Lomitos de atún en lata
Bucaramanga,C045,Lulo,Lulo
Bucaramanga,N/A,Maíz pira,Maíz pira
Bucaramanga,N/A,Mandarina común,Mandarina
Bucaramanga,C052,Mango Tommy,Mango Tommy
Bucaramanga,C054,Manzana roja importada,Manzana roja importada
Bucaramanga,C054,Manzana royal gala importada,Manzana royal
Bucaramanga,C054,Manzana verde importada,Manzana verde importada
Bucaramanga,C056,Maracuyá,Maracuyá
Bucaramanga,D018,Margarina,Margarina
Bucaramanga,D020,Mayonesa doy pack,Mayonesa doy pack
Bucaramanga,C060,Melón Cantalup,Melón Cantalup
Bucaramanga,C061,Mora de Castilla,Mora de Castilla
Bucaramanga,N/A,Muslos de pollo sin rabadilla,Muslos de pollo sin rabadilla
Bucaramanga,N/A,Naranja Valencia,Naranja Valencia
Bucaramanga,N/A,Panela cuadrada blanca,Panela cuadrada
Bucaramanga,N/A,Panela cuadrada morena,Panela cuadrada morena
Bucaramanga,B071,Papa criolla limpia,Papa criolla lavada
Bucaramanga,B074,Papa parda pastusa,Papa parda pastusa
Bucaramanga,B074,Papa única,Papa
Bucaramanga,C065,Papaya Maradol,Papaya Maradol
Bucaramanga,N/A,Papaya Paulina,Papaya Paulina
Bucaramanga,A072,Pastas alimenticias,Pastas alimenticias
Bucaramanga,C079,Patilla,Sandía
Bucaramanga,C079,Patilla baby,Patilla baby
Bucaramanga,F085,Pechuga de pollo,Pechuga de pollo
Bucaramanga,B077,Pepino cohombro,Pepino cohombro
Bucaramanga,C071,Pera importada,Pera importada
Bucaramanga,N/A,Perejil,Perejil
Bucaramanga,F091,Pierna pernil con rabadilla,Pierna pernil con rabadilla
Bucaramanga,N/A,Pierna pernil sin rabadilla,Pierna pernil sin rabadilla
Bucaramanga,F091,Piernas de pollo,Piernas de pollo
Bucaramanga,B080,Pimentón,Pimentón
Bucaramanga,N/A,Pimentón verde,Pimentón verde
Bucaramanga,C072,Piña gold,Piña gold
Bucaramanga,N/A,Piña perolera,Piña perolera
Bucaramanga,N/A,Pitahaya,Pitahaya
Bucaramanga,B092,Plátano hartón verde,Plátano verde
Bucaramanga,G017,Queso campesino,Queso campesino
Bucaramanga,G018,Queso costeño,Queso costeño
Bucaramanga,G016,Queso cuajada,Queso cuajada
Bucaramanga,G021,Queso doble crema,Queso doble crema
Bucaramanga,N/A,Rábano rojo,Rábano rojo
Bucaramanga,N/A,Remolacha,Remolacha
Bucaramanga,B099,Repollo blanco,Repollo blanco
Bucaramanga,N/A,Repollo morado,Repollo morado
Bucaramanga,L015,Sal yodada,Sal yodada
Bucaramanga,L017,Salsa de tomate doy pack,Salsa de tomate doy pack
Bucaramanga,N/A,Tangelo,Tangelo
Bucaramanga,N/A,Tilapia roja entera fresca,Tilapia roja entera fresca
Bucaramanga,C082,Tomate de árbol,Tomate de árbol
Bucaramanga,N/A,Tomate riñón,Tomate
Bucaramanga,N/A,Tomate Riogrande,Tomate Riogrande
Bucaramanga,C085,Uva importada,Uva importada
Bucaramanga,C086,Uva Isabela,Uva Isabela
Bucaramanga,C085,Uva red globe nacional,Uva red globe nacional
Bucaramanga,N/A,Vinagre,Vinagre
Bucaramanga,N/A,Yuca criolla,Yuca
Bucaramanga,B110,Zanahoria,Zanahoria
Cali,D013,Aceite vegetal mezcla,Aceite vegetal mezcla
Cali,C002,Aguacate papelillo,Aguacate papelillo
Cali,B006,Ahuyama,Ahuyama
Cali,N/A,Ajo importado,Ajo importado
Cali,F069,Alas de pollo con costillar,Alas de pollo con costillar
Cali,E001,Almejas con concha,Almejas con concha
Cali,B014,Apio,Apio
Cali,B015,Arracacha amarilla,Arracacha amarilla
Cali,A010,Arroz de primera,Arroz de primera
Cali,B019,Arveja verde en vaina pastusa,Arveja vaina
Cali,T003,Arveja verde seca importada,Arveja
Cali,A012,Avena en hojuelas,Avena en hojuelas
Cali,A029,Avena molida,Avena molida
Cali,K004,Azúcar morena,Azúcar morena
Cali,K003,Azúcar sulfitada,Azúcar sulfitada
Cali,E005,Bagre rayado entero congelado,Bagre
Cali,C010,Banano criollo,Banano criollo
Cali,E007,"Basa, entero congelado importado",Basa
Cali,E030,"Basa, filete congelado importado",Filete basa
Cali,E010,Bocachico importado congelado,Bocachico
Cali,B025,Brócoli,Brócoli
Cali,L005,Café instantáneo,Café instantáneo
Cali,L006,Café molido,Café molido
Cali,E015,Calamar anillos,Calamar anillos
